country,sftgcode,forecast.year,mean_p,rf.p,threat.p,harff.p,year,imr.normed.ln,mev.regac.ln,postcw,cou.tries5d,pol.cat.fl2,pol.cat.fl3,pol.cat.fl7,pol.durable.ln,gdppcgrow.sr,mev.civtot.ln,ios.iccpr1,wdi.popsize.ln,coup.p,cwar.p,reg.eap,reg.eur,reg.mna,reg.sca,reg.amr,pol.cat.pitf2,pol.cat.pitf3,pol.cat.pitf4,pol.cat.pitf5,pol.cat.pitf6,dis.l4pop.ln,pitf.p,mkl.ever,pit.sftpuhvl2.10.ln,pol.autoc,elc.eliti,elc.elethc,wdi.trade.ln,reg.afr,mkl.ongoing,countryage.ln,pol.cat.fl1,elf.ethnicc1,elf.ethnicc2,elf.ethnicc3,elf.ethnicc9,elc.eleth1,elc.eleth2,date,mean_pPER,rf.pPER,threat.pPER,harff.pPER,imr.normed.lnPER,mev.regac.lnPER,postcwPER,cou.tries5dPER,pol.cat.fl2PER,pol.cat.fl3PER,pol.cat.fl7PER,pol.durable.lnPER,gdppcgrow.srPER,mev.civtot.lnPER,ios.iccpr1PER,wdi.popsize.lnPER,coup.pPER,cwar.pPER,reg.eapPER,reg.eurPER,reg.mnaPER,reg.scaPER,reg.amrPER,pol.cat.pitf2PER,pol.cat.pitf3PER,pol.cat.pitf4PER,pol.cat.pitf5PER,pol.cat.pitf6PER,dis.l4pop.lnPER,pitf.pPER,mkl.everPER,pit.sftpuhvl2.10.lnPER,pol.autocPER,elc.elitiPER,elc.elethcPER,wdi.trade.lnPER,reg.afrPER,mkl.ongoingPER,countryage.lnPER,pol.cat.fl1PER,elf.ethnicc1PER,elf.ethnicc2PER,elf.ethnicc3PER,elf.ethnicc9PER,elc.eleth1PER,elc.eleth2PER
Jamaica,JAM,2016,0.001139969,0,0.000668146,0.002751761,2015,-0.354316143,2.197224577,1,0,0,1,0,4.043051268,0.742069478,0,1,7.912056888,0.008289673,0.003543659,0,0,0,0,1,0,0,1,0,0,0,0.009739434,0,0,0,0,0,4.437594929,0,0,3.988984047,0,0,1,0,0,0,0,4/8/17,0.223,0,0.26,0.26,0.403,0.211,0,0,0,0.434,0,0.844,0.31,0,0.354,0.155,0.316,0.198,0,0,0,0,0.85,0,0,0.664,0,0,0,0.273,0,0,0,0,0,0.546,0,0,0.341,0,0,0.652,0,0,0,0
South Korea,ROK,2016,0.001058791,0,0.000600167,0.002576206,2015,-1.596662351,2.302585093,1,0,0,1,0,3.33220451,1.475012602,0,1,10.83235882,0.003703573,0.005591901,1,0,0,0,0,0,0,1,0,0,0,0.009132828,1,0,0,0,0,4.563793297,0,0,4.219507705,0,1,0,0,0,0,0,4/8/17,0.217,0,0.229,0.248,0.118,0.304,0,0,0,0.434,0,0.683,0.596,0,0.354,0.838,0.111,0.335,0.881,0,0,0,0,0,0,0.664,0,0,0,0.254,0.608,0,0,0,0,0.639,0,0,0.577,0,0.708,0,0,0,0,0
Cuba,CUB,2016,0.001008084,0.001,0.000921746,0.001102506,2015,-1.414772666,2.197224577,1,0,0,0,0,4.007333185,1.638912002,0,0,9.340491056,0.004479029,0.007774519,0,0,0,0,1,0,0,0,0,0,0,0.002126786,1,0,1,1,0,3.791493157,0,0,4.997212274,1,0,1,0,0,0,0,4/8/17,0.211,0.44,0.31,0.068,0.167,0.211,0,0,0,0,0,0.838,0.677,0,0,0.534,0.18,0.434,0,0,0,0,0.85,0,0,0,0,0,0,0.018,0.608,0,0.757,0.919,0,0.111,0,0,0.757,0.875,0,0.652,0,0,0,0
Latvia,LAT,2016,0.000965655,0,0.000288526,0.002608438,2015,-1.268365559,2.302585093,1,0,0,1,0,3.218875825,1.879135946,0,1,7.592870288,0.004703786,0.002135532,0,1,0,0,0,0,0,1,0,0,0,0.011258825,0,0,0,0,0,4.797909913,0,0,3.218875825,0,0,1,0,0,0,0,4/8/17,0.204,0,0.08,0.254,0.204,0.304,0,0,0,0.434,0,0.565,0.807,0,0.354,0.105,0.186,0.068,0,0.751,0,0,0,0,0,0.664,0,0,0,0.291,0,0,0,0,0,0.832,0,0,0.049,0,0,0.652,0,0,0,0
Japan,JPN,2016,0.000926117,0.001,0.000476028,0.001302324,2015,-2.214961641,2.302585093,1,0,0,1,0,4.158883083,0.791215885,0,0,11.75052404,0.002517155,0.005724588,1,0,0,0,0,0,0,0,1,0,0,0.002096485,0,0,0,0,0,3.652013255,0,0,7.212294469,0,1,0,0,0,0,0,4/8/17,0.198,0.44,0.18,0.111,0,0.304,0,0,0,0.434,0,0.869,0.341,0,0,0.937,0.018,0.354,0.881,0,0,0,0,0,0,0,0.795,0,0,0.012,0,0,0,0,0,0.068,0,0,0.987,0,0.708,0,0,0,0,0
Singapore,SIN,2016,0.000914884,0,0.000637711,0.00210694,2015,-2.039070974,2.302585093,1,0,1,0,0,3.931825633,0.897381722,0,0,8.623713035,0.004048115,0.00560592,1,0,0,0,0,1,0,0,0,0,0,0.007161784,0,0,1,0,1,5.860359361,0,0,3.931825633,0,0,1,0,0,1,0,4/8/17,0.192,0,0.242,0.211,0.006,0.304,0,0,0.745,0,0,0.813,0.385,0,0,0.316,0.136,0.341,0.881,0,0,0,0,0.906,0,0,0,0,0,0.229,0,0,0.757,0,0.683,1,0,0,0.31,0,0,0.652,0,0,0.757,0
Costa Rica,COS,2016,0.000873001,0.001,0.000482595,0.001136409,2015,-0.811980361,2.197224577,1,0,0,1,0,4.574710979,1.529438582,0,1,8.478036476,0.005206725,0.003467093,0,0,0,0,1,0,0,0,1,0,0,0.002542015,0,0,0,0,0,4.28085077,0,0,5.272999559,0,1,0,0,0,0,0,4/8/17,0.186,0.44,0.192,0.086,0.279,0.211,0,0,0,0.434,0,0.956,0.621,0,0.354,0.273,0.217,0.186,0,0,0,0,0.85,0,0,0,0.795,0,0,0.049,0,0,0,0,0,0.409,0,0,0.863,0,0.708,0,0,0,0,0
Australia,AUL,2016,0.000834062,0,0.000276618,0.002225569,2015,-1.472566525,0,1,0,0,1,0,4.744932128,0.875074735,0,1,10.07752489,0.004874138,0.001989393,1,0,0,0,0,0,0,0,1,0,0,0.004724478,0,0,0,0,0,3.74482663,0,0,4.744932128,0,1,0,0,0,0,0,4/8/17,0.18,0,0.062,0.223,0.136,0,0,0,0,0.434,0,0.968,0.366,0,0.354,0.677,0.204,0.043,0.881,0,0,0,0,0,0,0,0.795,0,0,0.167,0,0,0,0,0,0.099,0,0,0.72,0,0.708,0,0,0,0,0
Netherlands,NTH,2016,0.000766117,0.001,0.000357546,0.000940805,2015,-1.660855508,2.302585093,1,0,0,1,0,4.262679877,1.223654276,0,1,9.736074312,0.002989715,0.003716426,0,1,0,0,0,0,0,0,1,0,0,0.003098528,0,0,0,0,0,5.039432414,0,0,6.104793232,0,1,0,0,0,0,0,4/8/17,0.173,0.44,0.105,0.012,0.08,0.304,0,0,0,0.434,0,0.913,0.515,0,0.354,0.602,0.062,0.223,0,0.751,0,0,0,0,0,0,0.795,0,0,0.086,0,0,0,0,0,0.925,0,0,0.925,0,0.708,0,0,0,0,0
Greece,GRC,2016,0.000763503,0,0.00042565,0.001864859,2015,-1.399767026,2.302585093,1,0,0,1,0,3.713572067,0.907502298,0,1,9.290998275,0.004066149,0.003607577,0,1,0,0,0,0,0,0,1,0,1.098612289,0.004919143,0,0,0,0,0,4.218482353,0,0,5.214935758,0,1,0,0,0,0,0,4/8/17,0.167,0,0.149,0.186,0.186,0.304,0,0,0,0.434,0,0.745,0.391,0,0.354,0.503,0.142,0.211,0,0.751,0,0,0,0,0,0,0.795,0,0.776,0.18,0,0,0,0,0,0.366,0,0,0.819,0,0.708,0,0,0,0,0
United Kingdom,UKG,2016,0.000758176,0,0.000679558,0.00159497,2015,-1.47028081,2.302585093,1,0,0,1,0,4.912654886,1.209187849,0,0,11.08145,0.003645975,0.006468568,0,1,0,0,0,0,0,0,1,0,0,0.003605779,0,0,0,0,0,4.07118624,0,0,6.173786104,0,1,0,0,0,0,0,4/8/17,0.161,0,0.273,0.161,0.142,0.304,0,0,0,0.434,0,0.981,0.503,0,0,0.869,0.105,0.397,0,0.751,0,0,0,0,0,0,0.795,0,0,0.124,0,0,0,0,0,0.273,0,0,0.931,0,0.708,0,0,0,0,0
France,FRN,2016,0.000741265,0,0.000515064,0.00170873,2015,-1.809496532,2.302585093,1,0,0,1,0,3.850147602,0.822157111,0,1,11.1046113,0.002962799,0.005552784,0,1,0,0,0,0,0,0,1,0,1.609437912,0.003998294,0,0,0,0,0,4.081280467,0,0,7.067319849,0,1,0,0,0,0,0,4/8/17,0.155,0,0.211,0.167,0.037,0.304,0,0,0,0.434,0,0.788,0.347,0,0.354,0.875,0.049,0.322,0,0.751,0,0,0,0,0,0,0.795,0,0.813,0.149,0,0,0,0,0,0.285,0,0,0.981,0,0.708,0,0,0,0,0
United States,USA,2016,0.000729016,0,0.000930949,0.0012561,2015,-1.410462315,1.386294361,1,0,0,1,0,5.332718793,1.280270213,0,0,12.67979124,0.004153053,0.008291945,0,0,0,0,1,0,0,0,1,0,0,0.001706511,0,0,0,0,0,3.398917578,0,0,5.451038454,0,0,1,0,0,0,0,4/8/17,0.149,0,0.316,0.105,0.173,0.055,0,0,0,0.434,0,1,0.534,0,0,0.987,0.155,0.453,0,0,0,0,0.85,0,0,0,0.795,0,0,0.006,0,0,0,0,0,0.031,0,0,0.906,0,0,0.652,0,0,0,0
New Zealand,NEW,2016,0.000720865,0,0.000162823,0.001999773,2015,-1.43881754,0,1,0,0,1,0,4.934473933,1.132476328,0,1,8.422442855,0.00475901,0.001140284,1,0,0,0,0,0,0,0,1,0,0,0.004852854,0,0,0,0,0,4.035294605,0,0,4.691347882,0,0,1,0,0,0,0,4/8/17,0.142,0,0,0.198,0.161,0,0,0,0,0.434,0,0.987,0.472,0,0.354,0.248,0.198,0.012,0.881,0,0,0,0,0,0,0,0.795,0,0,0.173,0,0,0,0,0,0.267,0,0,0.701,0,0,0.652,0,0,0,0
Estonia,EST,2016,0.000700505,0,0.000202352,0.001899163,2015,-1.599256386,2.302585093,1,0,0,1,0,2.772588722,1.124244905,0,1,7.178545484,0.004183268,0.001581024,0,1,0,0,0,0,0,1,0,0,0,0.008668074,0,0,0,0,0,5.102294685,0,0,3.218875825,0,0,1,0,0,0,0,4/8/17,0.136,0,0.018,0.192,0.111,0.304,0,0,0,0.434,0,0.36,0.465,0,0.354,0.074,0.161,0.018,0,0.751,0,0,0,0,0,0.664,0,0,0,0.248,0,0,0,0,0,0.956,0,0,0.049,0,0,0.652,0,0,0,0
Switzerland,SWZ,2016,0.000685177,0,0.000308018,0.001747514,2015,-1.647137872,2.302585093,1,0,0,1,0,5.123963979,-0.587288827,0,0,9.01978501,0.003343665,0.002920934,0,1,0,0,0,0,0,0,1,0,2.995732274,0.006269841,0,0,0,0,0,4.764780614,0,0,6.586171655,0,0,1,0,0,0,0,4/8/17,0.13,0,0.093,0.173,0.093,0.304,0,0,0,0.434,0,0.993,0.167,0,0,0.409,0.086,0.149,0,0.751,0,0,0,0,0,0,0.795,0,0.913,0.211,0,0,0,0,0,0.795,0,0,0.962,0,0,0.652,0,0,0,0
Poland,POL,2016,0.000666171,0,0.000630435,0.001368078,2015,-1.443252137,2.302585093,1,0,0,1,0,3.218875825,1.915866006,0,1,10.54513089,0.004142507,0.005446787,0,1,0,0,0,0,0,0,1,0,0,0.003684129,1,0,0,0,0,4.53910198,0,0,4.584967479,0,1,0,0,0,0,0,4/8/17,0.124,0,0.236,0.124,0.155,0.304,0,0,0,0.434,0,0.565,0.844,0,0.354,0.782,0.149,0.304,0,0.751,0,0,0,0,0,0,0.795,0,0,0.136,0.608,0,0,0,0,0.621,0,0,0.664,0,0.708,0,0,0,0,0
Uruguay,URU,2016,0.000629719,0,0.000461537,0.001427621,2015,-0.779419345,1.609437912,1,0,0,1,0,3.433987204,1.063523092,0,1,8.140898461,0.007562609,0.002534197,0,0,0,0,1,0,0,0,1,0,0,0.002760845,0,0,0,0,0,3.890250333,0,0,5.252273428,0,1,0,0,0,0,0,4/8/17,0.118,0,0.173,0.142,0.298,0.068,0,0,0,0.434,0,0.695,0.453,0,0.354,0.186,0.273,0.099,0,0,0,0,0.85,0,0,0,0.795,0,0,0.055,0,0,0,0,0,0.161,0,0,0.844,0,0.708,0,0,0,0,0
Italy,ITA,2016,0.000627978,0,0.000500751,0.001383183,2015,-1.756441969,2.302585093,1,0,0,1,0,4.219507705,0.859110598,0,1,11.01488444,0.002861447,0.005520766,0,1,0,0,0,0,0,0,1,0,0,0.002871562,0,0,0,0,0,4.027366003,0,0,5.043425117,0,1,0,0,0,0,0,4/8/17,0.111,0,0.198,0.13,0.043,0.304,0,0,0,0.434,0,0.894,0.354,0,0.354,0.863,0.037,0.316,0,0.751,0,0,0,0,0,0,0.795,0,0,0.062,0,0,0,0,0,0.248,0,0,0.776,0,0.708,0,0,0,0,0
Germany,GER,2016,0.000609834,0,0.000645257,0.001184246,2015,-1.714769273,2.302585093,1,0,0,1,0,3.258096538,0.761559356,0,1,11.30133986,0.003564527,0.006214762,0,1,0,0,0,0,0,0,1,0,0,0.002968399,0,0,0,0,0,4.439291913,0,0,3.258096538,0,1,0,0,0,0,0,4/8/17,0.105,0,0.254,0.093,0.062,0.304,0,0,0,0.434,0,0.633,0.329,0,0.354,0.906,0.099,0.372,0,0.751,0,0,0,0,0,0,0.795,0,0,0.074,0,0,0,0,0,0.552,0,0,0.161,0,0.708,0,0,0,0,0
Czech Republic,CZR,2016,0.000602193,0,0.000259117,0.001547464,2015,-1.980345688,2.302585093,1,0,0,1,0,3.135494216,1.989850142,0,1,9.2623634,0.002853418,0.002711296,0,1,0,0,0,0,0,1,0,0,0,0.006409178,0,0,0,0,0,5.08088186,0,0,3.135494216,0,0,1,0,0,0,0,4/8/17,0.099,0,0.055,0.149,0.031,0.304,0,0,0,0.434,0,0.509,0.875,0,0.354,0.478,0.031,0.124,0,0.751,0,0,0,0,0,0.664,0,0,0,0.217,0,0,0,0,0,0.944,0,0,0.024,0,0,0.652,0,0,0,0
Mauritius,MAS,2016,0.000601844,0,0.00025611,0.001549421,2015,-0.615185639,0,1,0,0,1,0,3.871201011,1.831288299,0,1,7.142827401,0.010194177,0.001083642,0,0,0,0,0,0,0,0,1,0,0,0.005214112,0,0,0,0,0,4.740718555,1,0,3.871201011,0,0,1,0,0,0,0,4/8/17,0.093,0,0.049,0.155,0.347,0,0,0,0,0.434,0,0.801,0.757,0,0.354,0.062,0.36,0.006,0,0,0,0,0,0,0,0,0.795,0,0,0.186,0,0,0,0,0,0.77,0.72,0,0.273,0,0,0.652,0,0,0,0
Spain,SPN,2016,0.00060113,0,0.000482051,0.001321338,2015,-1.753407066,2.302585093,1,0,0,1,0,3.63758616,1.836027094,0,1,10.74634701,0.003069776,0.005039961,0,1,0,0,0,0,0,0,1,0,0,0.002878506,0,0,0,0,0,4.136699056,0,0,6.261491684,0,0,1,0,0,0,0,4/8/17,0.086,0,0.186,0.118,0.049,0.304,0,0,0,0.434,0,0.732,0.763,0,0.354,0.826,0.068,0.285,0,0.751,0,0,0,0,0,0,0.795,0,0,0.068,0,0,0,0,0,0.31,0,0,0.95,0,0,0.652,0,0,0,0
Portugal,POR,2016,0.000600171,0,0.00039567,0.001404843,2015,-1.45892995,2.302585093,1,0,0,1,0,3.688879454,1.17241395,0,1,9.245514447,0.003869222,0.00345301,0,1,0,0,0,0,0,0,1,0,0,0.003638478,0,0,0,0,0,4.37841185,0,0,6.771935556,0,1,0,0,0,0,0,4/8/17,0.08,0,0.111,0.136,0.149,0.304,0,0,0,0.434,0,0.739,0.484,0,0.354,0.465,0.13,0.18,0,0.751,0,0,0,0,0,0,0.795,0,0,0.13,0,0,0,0,0,0.484,0,0,0.968,0,0.708,0,0,0,0,0
Chile,CHL,2016,0.000590388,0,0.000640112,0.001131052,2015,-1.021622093,1.609437912,1,0,0,1,0,3.295836866,1.003724233,0,1,9.795233967,0.006548386,0.003999798,0,0,0,0,1,0,0,0,1,0,0,0.002276621,1,0,0,0,0,4.19074741,0,0,5.288267031,0,1,0,0,0,0,0,4/8/17,0.074,0,0.248,0.08,0.236,0.068,0,0,0,0.434,0,0.664,0.428,0,0.354,0.627,0.248,0.236,0,0,0,0,0.85,0,0,0,0.795,0,0,0.024,0.608,0,0,0,0,0.36,0,0,0.881,0,0.708,0,0,0,0,0
Hungary,HUN,2016,0.000523915,0,0.000452218,0.001119528,2015,-1.333899601,2.302585093,1,0,0,1,0,3.258096538,1.777145603,0,1,9.193295937,0.004474659,0.003598693,0,1,0,0,0,0,0,0,1,0,0,0.004018807,1,0,0,0,0,5.143077114,0,0,5.117993812,0,1,0,0,0,0,0,4/8/17,0.068,0,0.167,0.074,0.192,0.304,0,0,0,0.434,0,0.633,0.739,0,0.354,0.459,0.173,0.204,0,0.751,0,0,0,0,0,0,0.795,0,0,0.155,0.608,0,0,0,0,0.975,0,0,0.782,0,0.708,0,0,0,0,0
Slovakia,SLO,2016,0.000494494,0,0.000395708,0.001087774,2015,-1.285299172,2.302585093,1,0,0,1,0,3.135494216,1.890619836,0,1,8.598404447,0.004719787,0.002998757,0,1,0,0,0,0,0,0,1,0,0,0.00417711,0,0,0,0,0,5.193275305,0,0,3.135494216,0,1,0,0,0,0,0,4/8/17,0.062,0,0.118,0.055,0.198,0.304,0,0,0,0.434,0,0.509,0.813,0,0.354,0.304,0.192,0.161,0,0.751,0,0,0,0,0,0,0.795,0,0,0.161,0,0,0,0,0,0.987,0,0,0.024,0,0.708,0,0,0,0,0
Denmark,DEN,2016,0.000494393,0,0.000283072,0.001200106,2015,-1.548612653,2.302585093,1,0,0,1,0,4.262679877,0.761103522,0,1,8.641179171,0.003309053,0.002685565,0,1,0,0,0,0,0,0,1,0,0,0.003387969,0,0,0,0,0,4.624709014,0,0,6.957497371,0,1,0,0,0,0,0,4/8/17,0.055,0,0.074,0.099,0.13,0.304,0,0,0,0.434,0,0.913,0.322,0,0.354,0.322,0.08,0.118,0,0.751,0,0,0,0,0,0,0.795,0,0,0.118,0,0,0,0,0,0.695,0,0,0.975,0,0.708,0,0,0,0,0
Panama,PAN,2016,0.000488404,0,0.000398262,0.00106695,2015,-0.604562652,0,1,0,0,1,0,3.295836866,1.924400869,0,1,8.27614022,0.011419332,0.001612118,0,0,0,0,1,0,0,0,1,0,0,0.003705105,0,0,0,0,0,5.041834455,0,0,4.727387819,0,0,1,0,0,0,0,4/8/17,0.049,0,0.124,0.043,0.354,0,0,0,0,0.434,0,0.664,0.85,0,0.354,0.217,0.416,0.024,0,0,0,0,0.85,0,0,0,0.795,0,0,0.142,0,0,0,0,0,0.931,0,0,0.714,0,0,0.652,0,0,0,0
Canada,CAN,2016,0.000462812,0,0.000541075,0.00084736,2015,-1.410462315,2.302585093,1,0,0,1,0,4.852030264,0.496056317,0,1,10.48801892,0.00330086,0.005424255,0,0,0,0,1,0,0,0,1,0,0,0.001562111,0,0,0,0,0,4.161042334,0,0,5.003946306,0,0,0,1,0,0,0,4/8/17,0.043,0,0.217,0.006,0.173,0.304,0,0,0,0.434,0,0.975,0.248,0,0.354,0.776,0.074,0.298,0,0,0,0,0.85,0,0,0,0.795,0,0,0,0,0,0,0,0,0.329,0,0,0.763,0,0,0,0.683,0,0,0
Austria,AUS,2016,0.000458072,0,0.000281539,0.001092676,2015,-1.708955304,2.302585093,1,0,0,1,0,4.248495242,0.549490871,0,1,9.056023012,0.002985682,0.002872145,0,1,0,0,0,0,0,0,1,0,0,0.002982166,0,0,0,0,0,4.632220032,0,0,4.584967479,0,1,0,0,0,0,0,4/8/17,0.037,0,0.068,0.062,0.068,0.304,0,0,0,0.434,0,0.906,0.267,0,0.354,0.428,0.055,0.142,0,0.751,0,0,0,0,0,0,0.795,0,0,0.08,0,0,0,0,0,0.708,0,0,0.664,0,0.708,0,0,0,0,0
Norway,NOR,2016,0.000420424,0,0.000176132,0.00108514,2015,-2.039070974,2.302585093,1,0,0,1,0,4.262679877,0.780708253,0,1,8.555836815,0.002324481,0.002065326,0,1,0,0,0,0,0,0,1,0,0,0.002292945,0,0,0,0,0,4.21865708,0,0,4.709530201,0,1,0,0,0,0,0,4/8/17,0.031,0,0.006,0.049,0.006,0.304,0,0,0,0.434,0,0.913,0.335,0,0.354,0.285,0.006,0.049,0,0.751,0,0,0,0,0,0,0.795,0,0,0.031,0,0,0,0,0,0.372,0,0,0.708,0,0.708,0,0,0,0,0
Slovenia,SLV,2016,0.000415841,0,0.00022526,0.001022264,2015,-1.561035173,2.302585093,1,0,0,1,0,3.218875825,1.670310571,0,1,7.632401127,0.00384928,0.0018837,0,1,0,0,0,0,0,0,1,0,0,0.003354653,0,0,0,0,0,4.977987373,0,0,3.218875825,0,1,0,0,0,0,0,4/8/17,0.024,0,0.037,0.031,0.124,0.304,0,0,0,0.434,0,0.565,0.701,0,0.354,0.118,0.124,0.037,0,0.751,0,0,0,0,0,0,0.795,0,0,0.111,0,0,0,0,0,0.913,0,0,0.049,0,0.708,0,0,0,0,0
Finland,FIN,2016,0.000407914,0,0.000184411,0.00103933,2015,-2.023070633,2.302585093,1,0,0,1,0,4.276666119,0.235184715,0,1,8.60886038,0.00240357,0.002119603,0,1,0,0,0,0,0,0,1,0,0,0.002322349,0,0,0,0,0,4.338823893,0,0,4.584967479,0,1,0,0,0,0,0,4/8/17,0.018,0,0.012,0.037,0.018,0.304,0,0,0,0.434,0,0.931,0.217,0,0.354,0.31,0.012,0.062,0,0.751,0,0,0,0,0,0,0.795,0,0,0.037,0,0,0,0,0,0.459,0,0,0.664,0,0.708,0,0,0,0,0
Sweden,SWD,2016,0.000406531,0,0.000210188,0.001009404,2015,-1.99181809,2.302585093,1,0,0,1,0,4.59511985,1.64583158,0,1,9.186662245,0.002168816,0.002626929,0,1,0,0,0,0,0,0,1,0,0,0.002380872,0,0,0,0,0,4.446785836,0,0,6.200509174,0,1,0,0,0,0,0,4/8/17,0.012,0,0.024,0.024,0.024,0.304,0,0,0,0.434,0,0.962,0.683,0,0.354,0.453,0,0.111,0,0.751,0,0,0,0,0,0,0.795,0,0,0.043,0,0,0,0,0,0.565,0,0,0.937,0,0.708,0,0,0,0,0
Lithuania,LIT,2016,0.000399722,0,0.000242802,0.000956365,2015,-1.601857168,2.302585093,1,0,0,1,0,3.218875825,1.608159779,0,1,7.977625099,0.003748666,0.002081754,0,1,0,0,0,0,0,0,1,0,0,0.003247453,0,0,0,0,0,5.078374069,0,0,3.218875825,0,0,1,0,0,0,0,4/8/17,0.006,0,0.043,0.018,0.105,0.304,0,0,0,0.434,0,0.565,0.652,0,0.354,0.167,0.118,0.055,0,0.751,0,0,0,0,0,0,0.795,0,0,0.099,0,0,0,0,0,0.937,0,0,0.049,0,0,0.652,0,0,0,0
Ireland,IRE,2016,0.000352616,0,0.000222884,0.000834963,2015,-1.638996715,2.302585093,1,0,0,1,0,4.553876892,2.685374544,0,1,8.444407422,0.002687641,0.002403519,0,1,0,0,0,0,0,0,1,0,0,0.003152893,0,0,0,0,0,5.342693625,0,0,4.543294782,0,1,0,0,0,0,0,4/8/17,0,0,0.031,0,0.099,0.304,0,0,0,0.434,0,0.95,0.993,0,0.354,0.267,0.024,0.08,0,0.751,0,0,0,0,0,0,0.795,0,0,0.093,0,0,0,0,0,0.993,0,0,0.652,0,0.708,0,0,0,0,0
